"Name","Purpose Statement","Affiliation"
"The Moritz Conservatives","The Moritz Conservatives provides a forum for discussion of a broad range of conservative ideals. We sponsor speaker events and academic eve...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Moritz Education Law Society","The Education Law Society (ELS) is a space for the discussion and promotion of education amongst members of the Moritz College of Law commun...","Columbus, Academic/College, Special Interest, Awareness/Activism"
"Moritz Law Students for Justice in Palestine","Stand in solidarity with, not on behalf of, the Palestinian people in their struggle against the colonial-apartheid Israeli regime; educate ...","Columbus, Awareness/Activism, Academic/College, Ethnic/Cultural, Special Interest"
"Morrison/Siebert Community Council","The residents of Morrison Tower & Siebert Hall hereby associate into an organization called the Morrison and Siebert Community Council (S'Mo...","Columbus, Governance Organizations"
"Mortar Board National College Senior Honor Society- Mabel G. Freeman Chapter","Mortar Board is a national honor society recognizing college seniors for their exemplary scholarship, leadership and service.","Columbus, Honoraries/Honor Societies, Academic/College, Community Service/Service Learning,"
"Mosaic Undergraduate Art & Literature Magazine","Mosaic Magazine publishes the art and literature of Ohio State undergraduate students. Ohio State undergrads of all majors are welcome to su...","Columbus, Media, Journalism, and Creative Writing, Creative and Performing Arts, Academic/College, Special Interest"
"Mount Leadership Society","Named after Ruth Weimer Mount, the Mount Leadership Society focuses on students committed to leadership and service. Students further develo...","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"Mountain Biking Club at The Ohio State University","The Mountain Biking Club at OSU is new organization with the goal of connect individuals with a common interest in mountain biking and the o...","Columbus, Sports and Recreation, Community Service/Service Learning, Special Interest"
"Mountaineers at Ohio State","Mountaineers at Ohio State is dedicated in its mission:  To provide all levels of outdoor enthusiasts the opportunity to meet and pool their...","Columbus, Sports and Recreation, Special Interest, Awareness/Activism"
"Movement Variations","Movement Variations is a completely student run organization comprised of dancers with previous training and experience. We aim to foster a ...","Columbus, Creative and Performing Arts, Special Interest, Sports and Recreation,"
"MOXIE ROBOTICS","MOXIE ROBOTICS designs, builds and tests contraptions that extend the capabilities of humans. More specifically the club aims to construct r...","Columbus, Technology, Sports and Recreation"
"MSK Ultrasound COP Interest Group","The MSK Ultrasound COP Interest Group hopes to unite medical students, residents, fellows, and faculty within a single Community of Practice...","Columbus, Academic/College, Special Interest"
"Mu Delta Alpha Sorority, Inc.","Our mission is to establish a sense of community and sisterhood for Muslim women by providing mentorship, service opportunities, networking,...","Columbus, Social Fraternities/Sororities, Religious/Spiritual"
"Muay Thai at Ohio State","With the massive growth of mixed martial arts and combat sports, along with competitive organizations such as the UFC, kickboxing sports, in...","Columbus, Sports and Recreation, Creative and Performing Arts, Special Interest"
"Multicultural Greek Council","The purpose of this organization shall be primarily to inspire, spread cultural awareness, and unite the diverse organizations affiliated wi...","Columbus, Governance Organizations, Ethnic/Cultural, Social Fraternities/Sororities, Awareness/Activism"
"Multicultural Public Health Student Association","The mission of Multicultural Public Health Student Association is to bring public health students together to create an environment in which...","Columbus, Ethnic/Cultural, Academic/College, Community Service/Service Learning"
"Multicultural Understanding Through Non-Traditional Discovery Opportunities at The Ohio State University","MUNDO at Ohio State’s educational priority is to create hands-on ways for active participants to become self-aware, collaborative community...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural, Special Interest"
"Muscle Movement Foundation at Ohio State","The Muscle Movement Foundation at Ohio State will raise awareness and finances for individuals and families affected by neuromuscular diseas...","Columbus, Community Service/Service Learning, Awareness/Activism"
"Music & Science Colloquium and Teaching Series (MASCATS)","MASCATS is a student organization that aims to foster interdisciplinary research in music among scholars across the OSU campus and at other ...","Columbus, Academic/College, Creative and Performing Arts"
"Music Club - Mansfield","To promote group singing and other forms of vocal music on campus","Mansfield, Academic/College, Honoraries/Honor Societies"
"Music Industry Club","We are passionate about music and careers in the music industry. Through discussions, guest webinars, and workshops for cover letters, resum...","Columbus, Creative and Performing Arts, Media, Journalism, and Creative Writing, Special Interest"
"Musical Memories: Day By Day Project","We are a student organization with 3 missions: Music, Education, and Memories. We are proud to have worked with lead physicians and research...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism, Creative and Performing Arts"
"Musicians' Collective","To support and provide a social medium for musical expression within the Ohio State community.","Columbus, Creative and Performing Arts, Special Interest, Media, Journalism, and Creative Writing, Sports and Recreation"
"Muslim Pharmacy Student Association","Dedicated to bridging the pharmacy practice with the Muslim community","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Muslim Student Association","The Muslim Student Association at Mansfield supports the interests of Muslim students on campus.","Mansfield, Ethnic/Cultural"
"Muslim Student Organization","The Purpose of the MSA is to : Get students involved with campus events; Unite all students who are willing to share and learn more about ea...","Newark, Religious/Spiritual"
"Muslim Students In Healthcare","MSH aims to create a supportive and inclusive community for Muslim students pursuing careers in healthcare. Our mission is to empower Muslim...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Religious/Spiritual"
"Muslim Students' Association","MSA-OSU aims to aid in the fulfillment of the religious obligations of Muslims at The Ohio State University, to provide a home on campus to ...","Columbus, Religious/Spiritual, Awareness/Activism, Community Service/Service Learning"
"Muslim Women in Fitness","We believe that there is a disconnect between Muslim women and maintaining physical well-being. Modesty is an important facet of Islam and m...","Columbus, Sports and Recreation, Religious/Spiritual"
"Muslima in Medicine","MMA is a fun opportunity for students to broaden their knowledge of medicine and interact with other students who have a shared passion for ...","Columbus, Academic/College, Community Service/Service Learning, Religious/Spiritual, Special Interest"
"Mwanafunzi","MWANAFUNZI, Swahili for “Student” strives for unity and cohesiveness among black students and the professional community.  MWANAFUNZI provid...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"The Mycology Club at The Ohio State University","We are here to explore the many aspects of the world of Mycology. We want to give students the opportunity to explore the fascinating world ...","Columbus, Special Interest, Academic/College, Awareness/Activism,"
"NAMI on Campus","NAMI on Campus helps students at Ohio State Mansfield connect with the work of the National Alliance on Mental Illness.","Mansfield, Community Service/Service Learning"
"National Alzheimer's Buddies","Making sense of the past and present; understanding our emotions; recognizing and connecting with those around us. Alzheimer's Disease makes...","Columbus, Community Service/Service Learning, Awareness/Activism"
"National Association for the Advancement of Colored People","The purpose and aims of The Ohio State University College Chapter of the NAACP is to inform students of the problems affecting African Ameri...","Columbus, Ethnic/Cultural, Awareness/Activism, Community Service/Service Learning,"
"National Association of Black Accountants","Since 1969, the National Association of Black Accountants, Inc. has been the leader in expanding the influence of minority professionals in ...","Columbus, Academic/College, Ethnic/Cultural"
"National Association of Minority Landscape Architects","The Ohio State chapter of The National Association of Minority Landscape Architects (NAMLA) is intended to unify the minority students in th...","Columbus, Ethnic/Cultural, Academic/College, Special Interest"
"National Community Oncology Dispensing Association, Inc. Professional Student Organization Chapter at The Ohio State University","The OSU NCODA Professional Student Organization Chapter is dedicated to enhancing students’ understanding of oncology by raising awareness o...","Columbus, Academic/College, Community Service/Service Learning, Honoraries/Honor Societies, Special Interest"
"National Lawyers Guild","The National Lawyers Guild is the nation’s oldest and largest progressive bar association and was the first one in the US to be racially int...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"National Optometric Student Association","To increase the quality of eye care in under-served populations while supporting the recruitment and success of minority optometrists.","Columbus, Community Service/Service Learning, Ethnic/Cultural"
"National Organization for the Professional Advancement of Black Chemists and Chemical Engineers at The Ohio State University","NOBCChE at The Ohio State University (OSU) is committed to the discovery, transmittal, and application of knowledge in the fields of science...","Columbus, Academic/College"
"National Organization of Minority Architecture Students","To champion diversity within the design professions by promoting the excellence, community engagement, and professional development of its m...","Columbus, Academic/College, Community Service/Service Learning, Ethnic/Cultural, Awareness/Activism"
"National Pan-Hellenic Council","The purpose of the NPHC is to foster cooperative actions of its member organizations in dealing with matters of mutual concern. To this end,...","Columbus, Social Fraternities/Sororities, Ethnic/Cultural, Special Interest, Awareness/Activism"
"National Residence Hall Honorary","The purpose of this Organization shall be to provide recognition for students, staff, administrators, and faculty living, working, or servin...","Columbus, Honoraries/Honor Societies, Community Service/Service Learning,"
"National Retail Federation Student Association at The Ohio State University","The purpose of the NRFSA is to provide students with opportunities within the professional retail community. The organization has the resour...","Columbus, Academic/College, Special Interest,"
"National Society of Black Engineers","NSBE's mission is ""to increase the number of culturally responsible Black engineers who excel academically, succeed professionally and posit...","Columbus, Ethnic/Cultural, Academic/College, Community Service/Service Learning"
"National Society of Black Women in Medicine","The National Society of Black Women in Medicine is a multi-disciplined organization that works to increase the recruitment and retention of ...","Columbus, Academic/College, Ethnic/Cultural"
"National Society of Leadership and Success","The NSLS is a national organization that helps people discover and achieve their goals. The NSLS offers life-changing lectures from the nati...","Columbus, Honoraries/Honor Societies, Academic/College, Community Service/Service Learning"
"National Society of Leadership and Success/Sigma Alpha Pi - Mansfield","The Society is an organization that helps people discover and achieve their goals. The Society offers life-changing lectures from the nation...","Mansfield, Academic/College, Honoraries/Honor Societies"
"National Student Speech Language Hearing Association","The mission of the National Student Speech Language Hearing Association (NSSLHA) is to benefit its members by continually improving its supp...","Columbus, Academic/College, Community Service/Service Learning, Awareness/Activism,"
"Native American and Indigenous Peoples Cohort","Provide support through fellowship for Native American students, Indigenous students from around the world, and any other student wishing to...","Columbus, Ethnic/Cultural, Awareness/Activism, Religious/Spiritual,"
"Natural and Prosperous Society","The Natural and Prosperous Society will educate the Ohio State community about natural hair. We will address various topics and taboos cente...","Columbus, Ethnic/Cultural, Special Interest"
"Natural History Collections Club","The Natural History Collections Club is a student-led organization that acts as a hub for students interested in natural history and museum ...","Columbus, Academic/College"
"Nepalese Student Association","The club will facilitate the history of unrepresented South Asians, focusing on the Nepali community in America. The club will hold meetings...","Columbus, Ethnic/Cultural, Awareness/Activism, Special Interest"
"Nerf Club","To be involved with fun activites that relieve stress","Lima, Special Interest"
"Net Impact - Undergraduate Chapter","The purpose of Net Impact is to introduce our members to sustainability in business through various speakers, events, and networking opportu...","Columbus, Awareness/Activism, Special Interest, Academic/College,"
"Net Sports","Recreational club that teaches the rules and principles of Ping Pong, volleyball and badminton, has fun through competition, puts on social ...","Newark, Sports and Recreation"
"Neurodiversity/ADHA Support","To provide resources, support and inforamtion to students with ADHA and other learning disabilities","Lima, Academic/College"
"The NeuroLaw Group","The NeuroLaw Group is an interdisciplinary club for undergraduates that explores the intersections of neuroscience in law, ethics, policy, a...","Columbus, Academic/College, Special Interest,"
"Neuroscience Graduate Student Organization","The Neuroscience Graduate Student organization is a student organization whose primary purpose is to promote the advancement of its members ...","Columbus, Academic/College, Special Interest, Awareness/Activism"
"Neurosurgery Interest Group","To further expose medical students to the field of neurosurgery.","Columbus, Academic/College, Awareness/Activism, Special Interest"
"The NeuroTech Club","The NeuroTech club is aimed at developing new technologies related to neuroscience applications such as medical devices or virtual reality s...","Columbus, Technology, Academic/College, Special Interest"
"Never Let Your Pen Dry","The purpose of Never Let Your Pen Dry is to provide a forum of individual artistic expression through writing and speech, showcase member ta...","Columbus, Creative and Performing Arts, Media, Journalism, and Creative Writing, Special Interest, Ethnic/Cultural"
"Never Walk Alone","C.A.R.E  Connect students with others struggling with mental illnesses or ones looking to support and create a support network that they can...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest,"
"New Life Free Clinic","The New Life Community Outreach Health and Wellness Center welcomes anyone who would like to see a physician at no cost. Medical students vo...","Columbus, Community Service/Service Learning, Special Interest"
"The New Music Collective","The mission of The New Music Collective is to engage in all aspects of the performance of a wide variety of Twentieth and Twenty-First Centu...","Columbus, Creative and Performing Arts"
"Newark International Language Club","","Newark, Academic/College"
"Newman Student Outreach","To provide students with the opportunity to explore their faith in Jesus Christ. Students will experience trips, volunteer adventures, event...","Lima, Religious/Spiritual"
"Next Crew","Next Crew is devoted to give novice and intermediate dancers a place to expand their dance styles and talents. It is an audition based organ...","Columbus, Creative and Performing Arts, Special Interest, Ethnic/Cultural"
"NGPA at The Ohio State University","The NGPA at The Ohio State university will build, support and unite the LGBTQ+ aviation community and its affiliates. Through education, soc...","Columbus, Awareness/Activism, Academic/College, Special Interest,"
"North African Student Society","The North African Student Society, or NASS, is a student organization aimed at highlighting an often under-represented culture here on the O...","Columbus, Ethnic/Cultural, Awareness/Activism, Community Service/Service Learning"
"North and South Sudanese Association","The purpose of this organization is to increase awareness about issues regarding North and South Sudan. To represent Sudan via collaboration...","Columbus, Ethnic/Cultural, Awareness/Activism, Community Service/Service Learning"
"Nourish International","OSU Nourish allows students to make a stand against food insecurity in a tangible way. Nourish partners with the Charles Madison Nabrit Memo...","Columbus, Community Service/Service Learning, Special Interest, Awareness/Activism, Technology"
"Nu Rho Psi: Epsilon Chapter","The purpose of Nu Rho Psi shall be to: (1) encourage professional interest and excellence in scholarship, particularly in neuroscience; (2) ...","Columbus, Honoraries/Honor Societies, Academic/College, Special Interest, Community Service/Service Learning"
"Nurses For Sexual and Reproductive Health at The Ohio State University","To advocate for the inclusion of sexual and reproductive health, rights, and justice within nursing education. With support and resources fr...","Columbus, Awareness/Activism, Academic/College, Special Interest"
"Nursing Students of Color","Nursing Students of Color (NSC) serves as a support network that is committed to developing a safe space for the underrepresented students o...","Columbus, Academic/College, Awareness/Activism, Ethnic/Cultural"
"Nursing Students Promoting Initiatives to Reinforce Equality","The mission of NSPIRE is to raise public awareness and provide education about healthcare inequities and disparities in underserved populati...","Columbus, Community Service/Service Learning, Awareness/Activism, Academic/College"
"O.A.S.I.S","The mission of O.A.S.I.S. (Ohio State, Adventures, Sightseeing, International Seeking) is to provide Ohio State students with opportunities ...","Columbus, Special Interest"
"OB/GYN Interest Group","The goal of this organization is to increase awareness of issues pertaining to Obstetrics and Gynecology among students of the OSU College o...","Columbus, Academic/College, Special Interest"
"OB/GYN Ultrasound Community of Practice","We define an Ultrasound Community of Practice (COP) as a team of students and physicians dedicated to advancing point of care ultrasound wit...","Columbus, Academic/College, Technology"
"OChemTALKS","OChemTALKS is a student-run organization devoted to planning seminars focused on organic chemistry and providing opportunities for students ...","Columbus, Academic/College, Special Interest"
"Ocular Club of Disease","To raise awareness of the opportunities available to optometry students in the field of ocular disease and neuro-optometry.","Columbus, Academic/College, Honoraries/Honor Societies"
"Off Campus Community Ambassadors","For internal student staff use to be charged to Off Campus Community Ambassadors leadership at the end of each semester.","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Off the Lake Productions","Off the Lake Productions is The Ohio State University's only student-run, service-based theatre organization. Every year we have FOUR major ...","Columbus, Creative and Performing Arts, Community Service/Service Learning, Special Interest, Awareness/Activism"
"Office of Diversity & Inclusion Undergraduate Recruitment Society","The purpose for this organization is to be a group of dynamic students that represent different ethnic and cultural backgrounds who assist i...","Columbus, Honoraries/Honor Societies, Academic/College, Ethnic/Cultural, Community Service/Service Learning"
"OHI/O","We host HackOHI/O and MakeOHI/O, annual 24-hour hackathons where students spend a weekend working as teams to solve problems and learn more ...","Columbus, Academic/College, Special Interest, Technology"
"Ohio Air Mobility Symposium","The purpose of the Ohio Air Mobility Symposium is to foster collaboration, innovation, and knowledge exchange within the field of air mobili...","Columbus, Academic/College, Community Service/Service Learning, Technology"
"Ohio Collegiate Music Education Association","It shall be the purpose of this organization to make available to members opportunities for professional development; to acquaint students w...","Columbus, Academic/College, Creative and Performing Arts"
"Ohio Education Association Aspiring Educators","Mission Statement: Ohio Education Association Aspiring Educators is a professional organization of undergraduate students preparing for or i...","Columbus, Academic/College, Awareness/Activism, Special Interest"
"Ohio Innocence Project - Collegiate Chapter","-Prevent Wrongful Conviction by promoting awareness of its existence on College Campuses and to generate student and community support for t...","Columbus, Awareness/Activism, Community Service/Service Learning"
"Ohio National Black Association for Speech-Language and Hearing Student Affiliate Chapter","The purpose of CO-NBASLH is to provide a space and opportunity with a focus on Black students at Ohio State University and Central Ohio univ...","Columbus, Ethnic/Cultural, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Ohio State at Lima Student Senate","To promote the mission of the Ohio State University Lima Student Senate  -  to represent the student perspective to University Admissions, a...","Lima, Governance Organizations"
"The Ohio State Business Law Journal","The Ohio State Business Law Journal (“Journal"") is a student-managed publication of scholarly research and commentary exploring the legal is...","Columbus, Academic/College, Special Interest"
"Ohio State Combat Robotics Organization","Combat Robotics at Ohio State (CROS) was established to create a close-knit and welcoming community revolving around fighting robots. The or...","Columbus, Technology, Special Interest, Sports and Recreation"
"Ohio State Equestrian Team-Western - Sport Club","The purpose of the OSU Equestrian Club is to provide all currently enrolled students the opportunity to develop riding skills and to provide...","Columbus, Sports and Recreation, Special Interest"
"Ohio State Journal on Dispute Resolution","Now in its thirty-ninth year of publication, the Ohio State Journal on Dispute Resolution (""JDR"") is a student-run publication of The Ohio S...","Columbus, Academic/College, Media, Journalism, and Creative Writing"
"Ohio State Law Journal","Started in 1935, the Ohio State Law Journal is a nationally renowned publication of the highest quality legal scholarship, managed and staff...","Columbus, Academic/College, Media, Journalism, and Creative Writing"
"Ohio State Marion Science Club","The Ohio State Marion Science Club meets to discuss and facilitate interest in science and provide opportunities for students to participate...","Marion, Special Interest"
"Ohio State Men's Basketball Club - Sport Club","The Sport Club program is designed to serve individual interests in different sports and recreational activities. Participation in the progr...","Columbus, Sports and Recreation, Special Interest"
"The Ohio State Oyster Club","At the Oyster Club, we will discover different types of oysters from various waters (salt, brinkish, fresh) and regions. With the Oyster Clu...","Columbus, Special Interest"
"Ohio State Technology Law Journal","The Mission of Ohio State Technology Law Journal (hereinafter “OSTLJ”) is to publish an interdisciplinary journal of research and commentary...","Columbus, Academic/College, Media, Journalism, and Creative Writing, Technology"
"The Ohio State University College of Veterinary Medicine Honey Bee Veterinary Club: Student Chapter of The Honey Bee Veterinary Consortium","We aim to increase the experience and knowledge of apiary healthcare and management for OSU veterinary students, thereby allowing them to ef...","Columbus, Academic/College, Special Interest"
"Ohio State Women's Basketball Club - Sport Club","The Sport Club program is designed to serve individual interests in different sports and recreational activities. Participation in the progr...","Columbus, Sports and Recreation, Special Interest,"
"Ohio State/COTC Intramurals","Intramural sports provide an opportunity for students of all skill levels to stay active and compete weekly with other students. Each year, ...","Newark, Sports and Recreation"
"Ohio Staters, Inc.","Ohio Staters, Inc. strives to improve the University through unique voluntary service. We help the University envision its future, facilitat...","Columbus, Community Service/Service Learning"
"Ohio Student Association","To give buckeyes from every walk of life a platform where they can come together in an intergenerational movement for racial, social, econom...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Ohio Union Activities Board","The mission of the Ohio Union Activities Board is to be the main student programming organization at The Ohio State University, to provide d...","Columbus, Special Interest, Creative and Performing Arts"
"Ohio Virology Association","We would like to foster collaboration and fellowship with virologists at Ohio State and the surrounding community.","Columbus, Academic/College, Awareness/Activism, Special Interest"
"OhioMOD Biomolecular Design Team","We are a group of undergraduate engineering students that participates in DNA nanotechnology based molecular design for an annual Internatio...","Columbus, Academic/College"
"Olympic Weightlifting Club at The Ohio State University","The Olympic Weightlifting Club at Ohio State seeks to create a supportive environment of weightlifters who train as a team with the goal of ...","Columbus, Sports and Recreation, Special Interest"
"Omani Student Association","The Omani Student Association aims to celebrate and share the rich heritage of Oman with OSU's community. Through cultural events, education...","Columbus, Ethnic/Cultural, Special Interest"
"Omega Gamma at The Ohio State University","The Omega Gamma Fraternity at the Ohio State University hopes to encourage and facilitate a welcoming, unbiased social interaction between u...","Columbus, Special Interest, Awareness/Activism, Community Service/Service Learning"
"Omega Psi Phi Fraternity Incorporated, Iota Psi Chapter","Omega Psi Phi Fraternity, Inc. purpose is to bring about union of college men of similar high ideals of scholarship, and manhood in order to...","Columbus, Social Fraternities/Sororities, Academic/College, Community Service/Service Learning, Ethnic/Cultural"
"Omega Tau Sigma Veterinary Fraternity","To foster and further the relationship between veterinary students and alumni, and to facilitate service and social involvement by members o...","Columbus, Academic/College, Community Service/Service Learning, Special Interest, Social Fraternities/Sororities"
"Oncology Interest Group","1) Introduce the fields of radiation oncology, medical oncology, and  surgical oncology to students of The Ohio State University College of ...","Columbus, Academic/College, Special Interest"
"One for the World at Ohio State","One for the World at Ohio State (OFTW) is a student-run philanthropy group, functioning as a constituent part of the international One for t...","Columbus, Community Service/Service Learning, Awareness/Activism"
"One for the World at Ohio State","One for the World at Ohio State (OFTW) is a student-run philanthropy group, functioning as a constituent part of the international One for t...","Columbus, Community Service/Service Learning, Awareness/Activism"
"One Health Club","The purpose of the club is to increase awareness of the One Health approach, which is the interconnection of public health, veterinary scien...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest, Academic/College"
"One:Twelve","Purpose: One:Twelve becomes what the KSA student body wants it to be, and offers a progressive medium for the always changing worlds of desi...","Columbus, Media, Journalism, and Creative Writing, Academic/College, Creative and Performing Arts"
"Op Notes: Surgery Journal Club","The mission of Op Notes is to cultivate an inclusive academic space for women medical students interested in surgery to meet representative ...","Columbus, Academic/College, Awareness/Activism, Special Interest"
"Open Source Club","In a world where technology increases its reach into our personal lives, encroaching on our privacy, accessibility, and even our democracy, ...","Columbus, Special Interest, Awareness/Activism, Technology,"
"Open Source Club at Lima Campus, OSU","To raise awareness of, provide us of and contribute to open source solutions, in campus and community.","Lima, Special Interest"
"Operation Smile Club at The Ohio State University","To create a community of Buckeyes committed to advocating for and supporting children born with cleft lips and cleft palates in regions of t...","Columbus, Community Service/Service Learning, Special Interest, Ethnic/Cultural, Awareness/Activism"
"Ophthalmology Interest Group","The purpose of the Ophthalmology Interest Group is to provide opportunities for current medical students to explore the field of ophthalmolo...","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"Opthalmic Engineering Journal Club","The Ophthalmic Engineering Journal Club is a group that meets weekly to present scientific papers in a journal club setting. Student members...","Columbus, Academic/College, Special Interest"
"Optica Student Chapter","The Chapter shall enrich its members through professional networking, and by providing career development and technical programming. The Cha...","Columbus, Academic/College"
"Optometric Vision Development & Rehabilitation Association","To increase awareness of binocular vision disorders, vision therapy and vision therapy practice management.","Columbus, Academic/College, Special Interest"
"Optometry Ambassadors at The Ohio State University","The organization will be known as Optometry Ambassadors at The Ohio State University, and will help prospective students make informed admis...","Columbus, Academic/College, Special Interest"
"Optometry Student Council","The Student Council shall be an official representative of the College of Optometry students in the following ways: 1.	Serve as a liaison be...","Columbus, Academic/College, Governance Organizations, Special Interest"
"Oral Surgery Interest Group","The Oral Surgery Interest Group operates within the OSU College of Dentistry and strives to provide dental students with knowledge and exper...","Columbus, Academic/College, Community Service/Service Learning"
"The Order Of The Cardinal","To introduce and train students in the athletic role playing hobby that is Belegarth, a nationalized rule set of foam fighting and light rol...","Columbus, Special Interest, Creative and Performing Arts, Sports and Recreation"
"Order of Omega","We are an active Greek honorary pursuing new and innovative ways to serve the Greek and University communities. We are in a constant pursuit...","Columbus, Honoraries/Honor Societies, Academic/College, Social Fraternities/Sororities"
"Organization of Black Aerospace Professionals - The Ohio State University Student Chapter","The purpose of the OBAP Ohio State University Chapter is to unify aerospace/aviation students, professionals, and members of the community i...","Columbus, Ethnic/Cultural, Special Interest, Community Service/Service Learning, Academic/College"
"Oriental Dance Troupe at Ohio State","To enhance international cutural exchange through traditional Chinese dance.","Columbus, Creative and Performing Arts, Ethnic/Cultural, Special Interest"
"Origins Dance Team","To bring together students with talent and interest in the art of Bhangra, Hip-Hop, Bollywood, classical, contemporary, and many more styles...","Columbus, Creative and Performing Arts, Awareness/Activism, Ethnic/Cultural"
"Ornithology Club","The Ornithology Club at OSU provides an opportunity for students to pursue their interest in birds and birdwatching, while also allowing stu...","Columbus, Special Interest, Academic/College, Awareness/Activism,"
"Orthodontic Interest Group","The Orthodontic Interest Group will serve as a resource to dental students interested in orthodontics and provide them with opportunities to...","Columbus, Academic/College, Special Interest"
"Orthodox Christian Fellowship","To support fellowship on campus, to experience and witness the Orthodox Christian Church through community life, prayer, service to others a...","Columbus, Religious/Spiritual, Ethnic/Cultural"
"Orthodox Tewahedo Club","The purpose of OTC is to regularly congregate, fellowship and discuss the faith/theology/history of 1st century Christianity; the belief of ...","Columbus, Religious/Spiritual, Community Service/Service Learning, Special Interest"
"Orthopedic Surgery Interest Group","Allowing students to obtain a first-hand glimpse into what the field of orthopedic surgery entails.","Columbus, Academic/College"
"OS3","Our mission is to provide students with the opportunity to learn and communicate about the world of Web 3. We aim to learn more about these ...","Columbus, Technology, Special Interest,"
"The OSEuchre Club","The OSEuchre Club strives to teach students how to play euchre and to create a social environment for students to play euchre, have fun, and...","Columbus, Special Interest, Sports and Recreation"
"OSM a Cappella","The Ohio State of Mind is a competitive a cappella musical group at The Ohio State University and offer students an opportunity to grow as m...","Columbus, Creative and Performing Arts, Special Interest,"
"OSU Lima Meme Team","To keep students in good-humored states of mind throughout the occasionally stressfull college life.","Lima, Special Interest"
"OSU Votes","The Office of Student Life’s OSU Votes is a student-led movement to register, educate and encourage other students to vote. This nonpartisan...","Columbus, Awareness/Activism, Special Interest"
"Otolaryngology Ultrasound Community of Practice","To increase clinician use, accessibility, and knowledge of focused ultrasound within the field of Otolaryngology throughout the Wexner Medic...","Columbus, Academic/College, Special Interest, Technology"
"Out in Science, Technology, Engineering and Mathematics","oSTEM provides support for LGBTQ+ and ally students, faculty, and staff by educating peers, hosting social events, and connecting members wi...","Columbus, Academic/College, Awareness/Activism, Special Interest, Technology"
"Out In Social Work","Out in Social Work is an organization created to unify Lesbian, Gay, Bisexual, Transgender, Queer, Intersex, Asexual, Questioning individual...","Columbus, Academic/College, Awareness/Activism, Special Interest, Ethnic/Cultural"
"Out of Office","To have an organization of business professionals that openly accepts all. A community in the Fisher College of Business Graduate school tha...","Columbus, Ethnic/Cultural, Academic/College, Awareness/Activism, Special Interest"
"OUTdoors","To provide access to nature and outdoor activities to underrepresented groups, with a focus on LGBTQ+ identities, people of color, women, pe...","Columbus, Awareness/Activism, Ethnic/Cultural, Special Interest, Sports and Recreation"
"OutLaws at The Ohio State University Moritz College of Law","The OutLaws are an organization of students, faculty, and staff of The Ohio State University Moritz College of Law. The Association promotes...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"OutLoud - Mansfield","OutLoud provides an anonymous, healthy, and safe place for the students of Ohio State Mansfield and NC State who are discovering the sexual ...","Mansfield, Ethnic/Cultural"
"Outside The Box","The OSU/COTC Newark Campus Improv Troupe. Learn various formats of improv and perform once or twice throughout the semester.","Newark, Creative and Performing Arts"
"Oval Dogs","This organization's primary focus will be to provide a solid support system of friends, canine-lovers, and puppy owners to all the dogs who ...","Columbus, Special Interest, Awareness/Activism, Community Service/Service Learning,"
"P1 PharmD Class Officers at The Ohio State University","To present opinions on behalf of the College of Pharmacy student body in response to administrative and academic policies. To promote inclus...","Columbus, Academic/College, Community Service/Service Learning"
"P3 PharmD Class Officers at The Ohio State University","To present opinions on behalf of the College of Pharmacy student body in response to administrative and academic policies. To promote inclus...","Columbus, Academic/College"
"P4 PharmD Class Officers at The Ohio State University","To present opinions on behalf of the College of Pharmacy student body in response to administrative and academic policies. To promote inclus...","Columbus, Governance Organizations, Academic/College"
"Paintball Club - Sport Club","The purpose of this club is to bring competitive paintball to OSU.","Columbus, Sports and Recreation, Special Interest,"
"Pakistani American Students' Association","The Pakistani American Students’ Association at The Ohio State University values preserving the Pakistani identity, traditions and its rich ...","Columbus, Ethnic/Cultural, Awareness/Activism, Special Interest"
"Palestine Children's Relief Fund at Ohio State","PCRF - OSU plans to bring awareness and host fundraising events to support the medical humanitarian efforts of the PCRF organization. This o...","Columbus, Community Service/Service Learning, Ethnic/Cultural"
"Palestinian Women's Association","Our purpose is to create a positive environment for our members to speak on politics, to appreciate Palestinian culture, and to engage in ac...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"Palette Pals at The Ohio State University","The purpose of this club is to provide a service that integrates Ohio State students with individuals with developmental disabilities and th...","Columbus, Community Service/Service Learning, Awareness/Activism, Creative and Performing Arts, Special Interest"
